neighborhood,type,name,url,address,lat,lon,hours
Ballard,Brewery,Maritime Pacific Brewing/Jolly Roger Taproom,http://maritimebrewery.com/,"1111 Northwest Ballard Way, Seattle, WA 98107",47.6626916,-122.3715725,"Mon: 11 a.m. - 11 p.m.
Tue: 11 a.m. - 11 p.m.
Wed: 11 a.m. - 11 p.m.
Thur: 11 a.m. - 11 p.m.
Fri: 10 a.m. - Midnight
Sat: 10 a.m. - Midnight
Sun: Noon - 9 p.m."
Ballard,Brewery,Populuxe Brewing,http://www.populuxebrewing.com/,"826 Northwest 49th Street, Seattle, WA 98107",47.6645826,-122.367549,"Mon: Closed
Tue: Closed
Wed: Closed
Thur: 4:30 p.m. - 9 p.m.
Fri: 4:30 p.m. - 9 p.m.
Sat: 2 p.m. - 9 p.m.
Sun: Closed"
Ballard,Brewery,Reuben's Brews,http://reubensbrews.com/,"1406 Northwest 53rd Street, Seattle, WA 98107",47.667386,-122.374099,"Mon: Closed
Tue: Closed
Wed: Closed
Thur: 3 p.m. - 8 p.m.
Fri: 3 p.m. - 8 p.m.
Sat: noon - 8 p.m.
Sun: noon - 5 p.m."
Ballard,Brewery,Hale's Ales,http://halesbrewery.com/,"4301 Leary Way Northwest, Seattle, WA 98107",47.65922,-122.365603,"Mon: 11:30 a.m. - 10 p.m.
Tue: 11:30 a.m. - 10 p.m.
Wed: 11:30 a.m. - 10 p.m.
Thur: 11:30 a.m. - 10 p.m.
Fri: 11:30 a.m. - 11 p.m.
Sat: 9:30 a.m. - 11 p.m.
Sun: 9:30 a.m. - 10 p.m."
Ballard,Brewery,Bad Jimmy's Brewing (open soon),http://www.badjimmysbrewingco.com/,"4358 Leary Way Northwest, Seattle, WA 98107",47.6603168,-122.3657552,"Mon: noon - mid
Tue: noon - mid
Wed: noon - mid
Thur: noon - mid
Fri: noon - 2 a.m.
Sat: noon - 2 a.m.
Sun: noon - mid"
Ballard,Brewery,Stoup Brewing,http://www.stoupbrewing.com/,"1108 Northwest 52nd Street, Seattle, WA 98107",47.6666529,-122.371202,
Ballard,Brewery,Hilliard's Beer,http://hilliardsbeer.com/,"1550 Northwest 49th Street, Seattle, WA 98107",,,
Ballard,Brewery,NW Peaks Brewery,http://www.nwpeaksbrewery.com/,"4912 17th Avenue Northwest, Seattle, WA 98107",,,"Mon: Closed
Tue: Closed
Wed: Closed
Thur: 4 p.m. - 8 p.m.
Fri: 4 p.m. - 8 p.m.
Sat: 2 p.m. - 8 p.m.
Sun: Noon - 6 p.m."
Ballard,Brewery,Urban Family Public House,http://www.urbanfamilypublichouse.com/,"5329 Ballard Avenue Northwest, Seattle, WA 98107",,,"Mon: 5 p.m. - mid
Tue: Closed
Wed: 5 p.m. - mid
Thur: 5 p.m. - mid
Fri: 3 p.m. - 2 a.m.
Sat: 1 p.m. - 2 a.m.
Sun: noon - 9 p.m."
Ballard,Brewery,Peddler Brewing,http://www.peddlerbrewing.com,"1514 Northwest Leary Way, Seattle, WA 98107",,,"Mon: Closed
Tue: Closed
Wed: Closed
Thur: 4 p.m. - 9 p.m.
Fri: 4 p.m. - 10 p.m.
Sat: 4 p.m. - 10 p.m.
Sun: Closed"
Capitol Hill,Brewery,Elysian Brewing Company,http://www.elysianbrewing.com/,"1221 E Pike St, Seattle",,,"M – F: 11:30 AM – 2:00 AM (Mon. til Late)
S – S: 12:00 PM – 2:00 AM (Sun. til Late)"
Fremont,Brewery,Fremont Brewing,http://www.fremontbrewing.com/,"3409 Woodland Park Avenue North
Seattle, WA",,,"Thursday – Friday: 4 – 8 pm
Saturday: Noon – 8 pm
Sunday: Noon – 6 pm"